"CountryofLiving","m_beh_distance","m_beh_handwash","m_beh_socgathering","m_beh_stayhome","m_beh_tellsymp","m_govfact_untruthful","m_govtrust_distrust","m_perceivedeffect_eff","m_perceivedreactinsuff","power_distance","individualism","uncertainty_avoidance","long_term_orientation","population_2016","Country.Code","gdp_2016"
"Romania",74.79116058,85.98544312,89.90618134,88.64863586,96.70687103,0.183298364,0.296769202,0.923975706,0.33711493,90,30,90,52,19705301,"ROU",187592037839.968
"Russia",55.16617966,83.62940216,85.03200531,63.34716415,83.9520874,0.831058681,0.809066415,0.76227361,0.845102668,93,39,95,81,NA,NA,NA
"Singapore",54.48226547,82.25151062,72.32847595,65.81767273,78.68769073,0.085525684,0.127903283,0.636614799,0.281592548,74,20,8,72,5607283,"SGP",296975678610.206
"Slovakia",73.9727478,79.3297348,93.07427979,88.84223175,92.89904785,0.22648637,0.243611768,0.938309073,0.100756846,100,52,51,77,NA,NA,NA
"South Africa",70.22272491,54.46834946,92.6709671,91.64276123,91.00775909,0.140827745,0.223917603,0.630557239,0.357632905,49,65,49,34,55908865,"ZAF",295456189492.005
"South Korea",67.65570831,89.51360321,81.09114838,69.13664246,74.50301361,0.102134034,0.069032021,0.912491143,0.422248125,60,18,85,100,NA,NA,NA
"Spain",88.19778442,91.36416626,94.67613983,94.42654419,97.34599304,0.392842382,0.314142495,0.840368152,0.531330347,57,51,86,48,46443959,"ESP",1237255019653.86
"Sweden",64.2698288,89.32839966,76.0848999,66.77703857,92.17377472,0.112270854,0.141483366,0.77973783,0.361332685,31,71,29,53,9903122,"SWE",514459972806.171
"Switzerland",87.79684448,93.3712616,95.4210434,83.91303253,95.26210022,0.185002521,0.157950118,0.919981718,0.509508491,34,68,58,74,8372098,"CHE",668851296244.236
"Thailand",68.69462585,97.12003326,98.23551178,83.51705933,97.18359375,0.512127578,0.889519036,0.446577609,0.556002438,64,20,64,32,68863514,"THA",407026127310.434
"Turkey",78.26728821,95.69515991,90.96871185,87.53773499,86.3507309,0.582376957,0.565813422,0.936068416,0.915900826,66,37,85,46,79512426,"TUR",863711710426.514
"Ukraine",62.51235199,88.11322021,78.70217896,63.71199799,82.52387238,0.593034387,0.579757273,0.797438383,0.343383521,92,25,95,86,45004645,"UKR",93270479388.5243
"United Kingdom",77.9727478,91.89289856,92.12388611,78.63568878,95.74295807,0.441873848,0.548479915,0.835326672,0.766022682,35,89,35,51,65637239,"GBR",2647898654635.24
"United States",81.13439178,92.30830383,93.87817383,84.57104492,92.78422546,0.753198802,0.738208652,0.905555308,0.85097456,40,91,46,26,323127513,"USA",1.8624475e+13
"Uruguay",80.59624481,97.45578003,94.43464661,89.30647278,98.8344574,0.106376454,0.125934154,0.913781583,0.264427185,61,36,99,26,3444006,"URY",52419720713.7316
"Venezuela",75.1503067,92.71881104,92.28479004,90.98774719,94.37124634,0.880642295,0.903391838,0.889417231,0.471084327,81,12,76,16,NA,NA,NA
"Vietnam",50.82266235,94.72130585,92.83774567,86.79840088,94.18371582,0.028715925,0.029809026,0.966141224,0.049912501,70,20,30,57,92701100,"VNM",205276172134.901
"Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czechia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kuwait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
